kommune_no,kommune_name,fylke_no,fylke_name
1868,Øksnes,18,Nordland
1870,Sortland,18,Nordland
1871,Andøy,18,Nordland
1874,Moskenes,18,Nordland
1875,Hamarøy,18,Nordland
3001,Halden,30,Viken
3002,Moss,30,Viken
3003,Sarpsborg,30,Viken
3004,Fredrikstad,30,Viken
3005,Drammen,30,Viken
3006,Kongsberg,30,Viken
3007,Ringerike,30,Viken
3011,Hvaler,30,Viken
3012,Aremark,30,Viken
3013,Marker,30,Viken
3014,Indre Østfold,30,Viken
3015,Skiptvet,30,Viken
3016,Rakkestad,30,Viken
3017,Råde,30,Viken
3018,Våler (Viken),30,Viken
3019,Vestby,30,Viken
3020,Nordre Follo,30,Viken
3021,Ås,30,Viken
3022,Frogn,30,Viken
3023,Nesodden,30,Viken
3024,Bærum,30,Viken
3025,Asker,30,Viken
3026,Aurskog-Høland,30,Viken
3027,Rælingen,30,Viken
3028,Enebakk,30,Viken
3029,Lørenskog,30,Viken
3030,Lillestrøm,30,Viken
3031,Nittedal,30,Viken
3032,Gjerdrum,30,Viken
3033,Ullensaker,30,Viken
3034,Nes,30,Viken
3035,Eidsvoll,30,Viken
3036,Nannestad,30,Viken
3037,Hurdal,30,Viken
3038,Hole,30,Viken
3039,Flå,30,Viken
3040,Nesbyen,30,Viken
3041,Gol,30,Viken
3042,Hemsedal,30,Viken
3043,Ål,30,Viken
3044,Hol,30,Viken
3045,Sigdal,30,Viken
3046,Krødsherad,30,Viken
3047,Modum,30,Viken
3048,Øvre Eiker,30,Viken
3049,Lier,30,Viken
3050,Flesberg,30,Viken
3051,Rollag,30,Viken
3052,Nore og Uvdal,30,Viken
3053,Jevnaker,30,Viken
3054,Lunner,30,Viken
3401,Kongsvinger,34,Innlandet
3403,Hamar,34,Innlandet
3405,Lillehammer,34,Innlandet
3407,Gjøvik,34,Innlandet
3411,Ringsaker,34,Innlandet
3412,Løten,34,Innlandet
3413,Stange,34,Innlandet
3414,Nord-Odal,34,Innlandet
3415,Sør-Odal,34,Innlandet
3416,Eidskog,34,Innlandet
3417,Grue,34,Innlandet
3418,Åsnes,34,Innlandet
3419,Våler (Innlandet),34,Innlandet
3420,Elverum,34,Innlandet
3421,Trysil,34,Innlandet
3422,Åmot,34,Innlandet
3423,Stor-Elvdal,34,Innlandet
3424,Rendalen,34,Innlandet
3425,Engerdal,34,Innlandet
3426,Tolga,34,Innlandet
3427,Tynset,34,Innlandet
3428,Alvdal,34,Innlandet
3429,Folldal,34,Innlandet
3430,Os,34,Innlandet
3431,Dovre,34,Innlandet
3432,Lesja,34,Innlandet
3433,Skjåk,34,Innlandet
3434,Lom,34,Innlandet
3435,Vågå,34,Innlandet
3436,Nord-Fron,34,Innlandet
3437,Sel,34,Innlandet
3438,Sør-Fron,34,Innlandet
3439,Ringebu,34,Innlandet
3440,Øyer,34,Innlandet
3441,Gausdal,34,Innlandet
3442,Østre Toten,34,Innlandet
3443,Vestre Toten,34,Innlandet
3446,Gran,34,Innlandet
3447,Søndre Land,34,Innlandet
3448,Nordre Land,34,Innlandet
3449,Sør-Aurdal,34,Innlandet
3450,Etnedal,34,Innlandet
3451,Nord-Aurdal,34,Innlandet
3452,Vestre Slidre,34,Innlandet
3453,Øystre Slidre,34,Innlandet
3454,Vang,34,Innlandet
3801,Horten,38,Vestfold og Telemark
3802,Holmestrand,38,Vestfold og Telemark
3803,Tønsberg,38,Vestfold og Telemark
3804,Sandefjord,38,Vestfold og Telemark
3805,Larvik,38,Vestfold og Telemark
3806,Porsgrunn,38,Vestfold og Telemark
3807,Skien,38,Vestfold og Telemark
3808,Notodden,38,Vestfold og Telemark
3811,Færder,38,Vestfold og Telemark
3812,Siljan,38,Vestfold og Telemark
3813,Bamble,38,Vestfold og Telemark
3814,Kragerø,38,Vestfold og Telemark
3815,Drangedal,38,Vestfold og Telemark
3816,Nome,38,Vestfold og Telemark
3817,Midt-Telemark,38,Vestfold og Telemark
3818,Tinn,38,Vestfold og Telemark
3819,Hjartdal,38,Vestfold og Telemark
3820,Seljord,38,Vestfold og Telemark
3821,Kviteseid,38,Vestfold og Telemark
3822,Nissedal,38,Vestfold og Telemark
3823,Fyresdal,38,Vestfold og Telemark
3824,Tokke,38,Vestfold og Telemark
3825,Vinje,38,Vestfold og Telemark
4201,Risør,42,Agder
4202,Grimstad,42,Agder
4203,Arendal,42,Agder
4204,Kristiansand,42,Agder
4205,Lindesnes,42,Agder
4206,Farsund,42,Agder
4207,Flekkefjord,42,Agder
4211,Gjerstad,42,Agder
4212,Vegårshei,42,Agder
4213,Tvedestrand,42,Agder
4214,Froland,42,Agder
4215,Lillesand,42,Agder
4216,Birkenes,42,Agder
4217,Åmli,42,Agder
4218,Iveland,42,Agder
4219,Evje og Hornnes,42,Agder
4220,Bygland,42,Agder
4221,Valle,42,Agder
4222,Bykle,42,Agder
4223,Vennesla,42,Agder
4224,Åseral,42,Agder
4225,Lyngdal,42,Agder
4226,Hægebostad,42,Agder
4227,Kvinesdal,42,Agder
4228,Sirdal,42,Agder
4601,Bergen,46,Vestland
4602,Kinn,46,Vestland
4611,Etne,46,Vestland
4612,Sveio,46,Vestland
4613,Bømlo,46,Vestland
4614,Stord,46,Vestland
4615,Fitjar,46,Vestland
4616,Tysnes,46,Vestland
4617,Kvinnherad,46,Vestland
4618,Ullensvang,46,Vestland
4619,Eidfjord,46,Vestland
4620,Ulvik,46,Vestland
4621,Voss,46,Vestland
4622,Kvam,46,Vestland
4623,Samnanger,46,Vestland
4624,Bjørnafjorden,46,Vestland
4625,Austevoll,46,Vestland
4626,Øygarden,46,Vestland
4627,Askøy,46,Vestland
4628,Vaksdal,46,Vestland
4629,Modalen,46,Vestland
4630,Osterøy,46,Vestland
4631,Alver,46,Vestland
4632,Austrheim,46,Vestland
4633,Fedje,46,Vestland
4634,Masfjorden,46,Vestland
4635,Gulen,46,Vestland
4636,Solund,46,Vestland
4637,Hyllestad,46,Vestland
4638,Høyanger,46,Vestland
4639,Vik,46,Vestland
4640,Sogndal,46,Vestland
4641,Aurland,46,Vestland
4642,Lærdal,46,Vestland
4643,Årdal,46,Vestland
4644,Luster,46,Vestland
4645,Askvoll,46,Vestland
4646,Fjaler,46,Vestland
4647,Sunnfjord,46,Vestland
4648,Bremanger,46,Vestland
4649,Stad,46,Vestland
4650,Gloppen,46,Vestland
4651,Stryn,46,Vestland
5001,Trondheim,50,Trøndelag
5006,Steinkjer,50,Trøndelag
5007,Namsos,50,Trøndelag
5014,Frøya,50,Trøndelag
5020,Osen,50,Trøndelag
5021,Oppdal,50,Trøndelag
5022,Rennebu,50,Trøndelag
5025,Røros,50,Trøndelag
5026,Holtålen,50,Trøndelag
5027,Midtre Gauldal,50,Trøndelag
5028,Melhus,50,Trøndelag
5029,Skaun,50,Trøndelag
5031,Malvik,50,Trøndelag
5032,Selbu,50,Trøndelag
5033,Tydal,50,Trøndelag
5034,Meråker,50,Trøndelag
5035,Stjørdal,50,Trøndelag
5036,Frosta,50,Trøndelag
5037,Levanger,50,Trøndelag
5038,Verdal,50,Trøndelag
5041,Snåsa,50,Trøndelag
5042,Lierne,50,Trøndelag
5043,Røyrvik,50,Trøndelag
5044,Namsskogan,50,Trøndelag
5045,Grong,50,Trøndelag
5046,Høylandet,50,Trøndelag
5047,Overhalla,50,Trøndelag
5049,Flatanger,50,Trøndelag
5052,Leka,50,Trøndelag
5053,Inderøy,50,Trøndelag
5054,Indre Fosen,50,Trøndelag
5055,Heim,50,Trøndelag
5056,Hitra,50,Trøndelag
5057,Ørland,50,Trøndelag
5058,Åfjord,50,Trøndelag
5059,Orkland,50,Trøndelag
5060,Nærøysund,50,Trøndelag
5061,Rindal,50,Trøndelag
5401,Tromsø,54,Troms og Finnmark
5402,Harstad,54,Troms og Finnmark
5403,Alta,54,Troms og Finnmark
5404,Vardø,54,Troms og Finnmark
5405,Vadsø,54,Troms og Finnmark
5406,Hammerfest,54,Troms og Finnmark
5411,Kvæfjord,54,Troms og Finnmark
5412,Tjeldsund,54,Troms og Finnmark
5413,Ibestad,54,Troms og Finnmark
5414,Gratangen,54,Troms og Finnmark
5415,Lavangen,54,Troms og Finnmark
5416,Bardu,54,Troms og Finnmark
5417,Salangen,54,Troms og Finnmark
5418,Målselv,54,Troms og Finnmark
5419,Sørreisa,54,Troms og Finnmark
5420,Dyrøy,54,Troms og Finnmark
5421,Senja,54,Troms og Finnmark
5422,Balsfjord,54,Troms og Finnmark
5423,Karlsøy,54,Troms og Finnmark
5424,Lyngen,54,Troms og Finnmark
5425,Storfjord,54,Troms og Finnmark
5426,Kåfjord,54,Troms og Finnmark
5427,Skjervøy,54,Troms og Finnmark
5428,Nordreisa,54,Troms og Finnmark
5429,Kvænangen,54,Troms og Finnmark
5430,Kautokeino,54,Troms og Finnmark
5432,Loppa,54,Troms og Finnmark
5433,Hasvik,54,Troms og Finnmark
5434,Måsøy,54,Troms og Finnmark
5435,Nordkapp,54,Troms og Finnmark
5436,Porsanger,54,Troms og Finnmark
5437,Kárájohka - Karasjok,54,Troms og Finnmark
5438,Lebesby,54,Troms og Finnmark
5439,Gamvik,54,Troms og Finnmark
5440,Berlevåg,54,Troms og Finnmark
5441,Tana,54,Troms og Finnmark
5442,Nesseby,54,Troms og Finnmark
5443,Båtsfjord,54,Troms og Finnmark
5444,Sør-Varanger,54,Troms og Finnmark
5001,Trondheim,50,Trøndelag Trööndelage
9999,Ukjent Kommune,99,Ukjent Fylke
9998,Svalbard,99,Svalbard
