date,health_org_name,region,admissions
2020-04-30,Helse Møre og Romsdal,Midt,2
2020-05-01,Helse Møre og Romsdal,Midt,1
2020-05-02,Helse Møre og Romsdal,Midt,3
2020-05-03,Helse Møre og Romsdal,Midt,3
2020-05-04,Helse Møre og Romsdal,Midt,4
2020-05-05,Helse Møre og Romsdal,Midt,4
2020-05-06,Helse Møre og Romsdal,Midt,4
2020-05-07,Helse Møre og Romsdal,Midt,3
2020-05-08,Helse Møre og Romsdal,Midt,3
2020-05-09,Helse Møre og Romsdal,Midt,3
2020-05-10,Helse Møre og Romsdal,Midt,3
2020-05-11,Helse Møre og Romsdal,Midt,3
2020-05-12,Helse Møre og Romsdal,Midt,5
2020-05-13,Helse Møre og Romsdal,Midt,4
2020-05-14,Helse Møre og Romsdal,Midt,3
2020-05-15,Helse Møre og Romsdal,Midt,1
2020-05-16,Helse Møre og Romsdal,Midt,1
2020-05-17,Helse Møre og Romsdal,Midt,1
2020-05-18,Helse Møre og Romsdal,Midt,1
2020-05-19,Helse Møre og Romsdal,Midt,1
2020-05-20,Helse Møre og Romsdal,Midt,1
2020-05-21,Helse Møre og Romsdal,Midt,1
2020-05-22,Helse Møre og Romsdal,Midt,1
2020-05-23,Helse Møre og Romsdal,Midt,1
2020-05-24,Helse Møre og Romsdal,Midt,1
2020-05-25,Helse Møre og Romsdal,Midt,1
2020-05-26,Helse Møre og Romsdal,Midt,1
2020-05-27,Helse Møre og Romsdal,Midt,1
2020-05-28,Helse Møre og Romsdal,Midt,1
2020-05-29,Helse Møre og Romsdal,Midt,1
2020-05-30,Helse Møre og Romsdal,Midt,1
2020-05-31,Helse Møre og Romsdal,Midt,1
2020-06-01,Helse Møre og Romsdal,Midt,2
2020-06-02,Helse Møre og Romsdal,Midt,2
2020-06-03,Helse Møre og Romsdal,Midt,1
2020-06-04,Helse Møre og Romsdal,Midt,1
2020-06-05,Helse Møre og Romsdal,Midt,1
2020-06-08,Helse Møre og Romsdal,Midt,1
2020-06-09,Helse Møre og Romsdal,Midt,1
2020-06-10,Helse Møre og Romsdal,Midt,1
2020-06-11,Helse Møre og Romsdal,Midt,1
2020-06-12,Helse Møre og Romsdal,Midt,1
2020-06-15,Helse Møre og Romsdal,Midt,1
2020-06-16,Helse Møre og Romsdal,Midt,1
2020-06-17,Helse Møre og Romsdal,Midt,1
2020-06-18,Helse Møre og Romsdal,Midt,1
2020-06-19,Helse Møre og Romsdal,Midt,1
2020-06-22,Helse Møre og Romsdal,Midt,1
2020-06-23,Helse Møre og Romsdal,Midt,1
2020-06-24,Helse Møre og Romsdal,Midt,1
2020-06-25,Helse Møre og Romsdal,Midt,1
2020-06-26,Helse Møre og Romsdal,Midt,1
2020-06-29,Helse Møre og Romsdal,Midt,3
2020-06-30,Helse Møre og Romsdal,Midt,3
2020-07-01,Helse Møre og Romsdal,Midt,3
2020-07-02,Helse Møre og Romsdal,Midt,3
2020-07-03,Helse Møre og Romsdal,Midt,3
2020-07-06,Helse Møre og Romsdal,Midt,2
2020-07-07,Helse Møre og Romsdal,Midt,2
2020-07-08,Helse Møre og Romsdal,Midt,1
2020-07-09,Helse Møre og Romsdal,Midt,1
2020-07-10,Helse Møre og Romsdal,Midt,0
2020-07-13,Helse Møre og Romsdal,Midt,0
2020-07-14,Helse Møre og Romsdal,Midt,0
2020-07-15,Helse Møre og Romsdal,Midt,0
2020-07-16,Helse Møre og Romsdal,Midt,0
2020-07-17,Helse Møre og Romsdal,Midt,0
2020-07-20,Helse Møre og Romsdal,Midt,0
2020-07-21,Helse Møre og Romsdal,Midt,0
2020-07-22,Helse Møre og Romsdal,Midt,0
2020-07-23,Helse Møre og Romsdal,Midt,0
2020-07-24,Helse Møre og Romsdal,Midt,0
2020-07-27,Helse Møre og Romsdal,Midt,0
2020-07-28,Helse Møre og Romsdal,Midt,0
2020-07-29,Helse Møre og Romsdal,Midt,0
2020-07-30,Helse Møre og Romsdal,Midt,0
2020-07-31,Helse Møre og Romsdal,Midt,0
2020-08-03,Helse Møre og Romsdal,Midt,1
2020-08-04,Helse Møre og Romsdal,Midt,1
2020-08-05,Helse Møre og Romsdal,Midt,0
2020-08-06,Helse Møre og Romsdal,Midt,0
2020-08-07,Helse Møre og Romsdal,Midt,0
2020-08-10,Helse Møre og Romsdal,Midt,0
2020-08-11,Helse Møre og Romsdal,Midt,0
2020-08-12,Helse Møre og Romsdal,Midt,0
2020-08-13,Helse Møre og Romsdal,Midt,0
2020-08-14,Helse Møre og Romsdal,Midt,0
2020-08-17,Helse Møre og Romsdal,Midt,1
2020-08-18,Helse Møre og Romsdal,Midt,0
2020-08-19,Helse Møre og Romsdal,Midt,0
2020-08-20,Helse Møre og Romsdal,Midt,0
2020-08-21,Helse Møre og Romsdal,Midt,0
2020-08-24,Helse Møre og Romsdal,Midt,0
2020-08-25,Helse Møre og Romsdal,Midt,0
2020-08-26,Helse Møre og Romsdal,Midt,0
2020-08-27,Helse Møre og Romsdal,Midt,0
2020-08-28,Helse Møre og Romsdal,Midt,0
2020-08-31,Helse Møre og Romsdal,Midt,0
2020-09-01,Helse Møre og Romsdal,Midt,0
2020-09-02,Helse Møre og Romsdal,Midt,0
2020-09-03,Helse Møre og Romsdal,Midt,0
2020-09-04,Helse Møre og Romsdal,Midt,0
2020-09-07,Helse Møre og Romsdal,Midt,0
2020-09-08,Helse Møre og Romsdal,Midt,0
2020-09-09,Helse Møre og Romsdal,Midt,0
2020-09-10,Helse Møre og Romsdal,Midt,0
2020-09-11,Helse Møre og Romsdal,Midt,0
2020-09-14,Helse Møre og Romsdal,Midt,0
2020-09-15,Helse Møre og Romsdal,Midt,0
2020-09-16,Helse Møre og Romsdal,Midt,0
2020-09-17,Helse Møre og Romsdal,Midt,0
2020-09-18,Helse Møre og Romsdal,Midt,0
2020-09-21,Helse Møre og Romsdal,Midt,0
2020-09-22,Helse Møre og Romsdal,Midt,0
2020-09-23,Helse Møre og Romsdal,Midt,0
2020-09-24,Helse Møre og Romsdal,Midt,0
2020-09-25,Helse Møre og Romsdal,Midt,0
2020-09-28,Helse Møre og Romsdal,Midt,0
2020-09-29,Helse Møre og Romsdal,Midt,1
2020-09-30,Helse Møre og Romsdal,Midt,1
2020-10-01,Helse Møre og Romsdal,Midt,1
2020-10-02,Helse Møre og Romsdal,Midt,1
2020-10-05,Helse Møre og Romsdal,Midt,1
2020-10-06,Helse Møre og Romsdal,Midt,2
2020-10-07,Helse Møre og Romsdal,Midt,2
2020-10-08,Helse Møre og Romsdal,Midt,2
2020-10-09,Helse Møre og Romsdal,Midt,2
2020-10-12,Helse Møre og Romsdal,Midt,3
2020-10-13,Helse Møre og Romsdal,Midt,2
2020-10-14,Helse Møre og Romsdal,Midt,2
2020-10-15,Helse Møre og Romsdal,Midt,2
2020-10-16,Helse Møre og Romsdal,Midt,2
2020-10-19,Helse Møre og Romsdal,Midt,2
2020-10-20,Helse Møre og Romsdal,Midt,2
2020-10-21,Helse Møre og Romsdal,Midt,3
2020-10-22,Helse Møre og Romsdal,Midt,2
2020-10-23,Helse Møre og Romsdal,Midt,2
2020-10-26,Helse Møre og Romsdal,Midt,2
2020-10-27,Helse Møre og Romsdal,Midt,0
2020-10-28,Helse Møre og Romsdal,Midt,0
2020-10-29,Helse Møre og Romsdal,Midt,0
2020-10-30,Helse Møre og Romsdal,Midt,0
2020-10-31,Helse Møre og Romsdal,Midt,0
2020-11-01,Helse Møre og Romsdal,Midt,0
2020-11-02,Helse Møre og Romsdal,Midt,0
2020-11-03,Helse Møre og Romsdal,Midt,0
2020-11-04,Helse Møre og Romsdal,Midt,0
2020-11-05,Helse Møre og Romsdal,Midt,0
2020-11-06,Helse Møre og Romsdal,Midt,0
2020-11-07,Helse Møre og Romsdal,Midt,0
2020-11-08,Helse Møre og Romsdal,Midt,0
2020-11-09,Helse Møre og Romsdal,Midt,0
2020-11-10,Helse Møre og Romsdal,Midt,0
2020-11-11,Helse Møre og Romsdal,Midt,0
2020-11-12,Helse Møre og Romsdal,Midt,1
2020-11-13,Helse Møre og Romsdal,Midt,2
2020-11-14,Helse Møre og Romsdal,Midt,1
2020-11-15,Helse Møre og Romsdal,Midt,2
2020-11-16,Helse Møre og Romsdal,Midt,3
2020-11-17,Helse Møre og Romsdal,Midt,3
2020-11-18,Helse Møre og Romsdal,Midt,4
2020-11-19,Helse Møre og Romsdal,Midt,4
2020-11-20,Helse Møre og Romsdal,Midt,2
2020-11-21,Helse Møre og Romsdal,Midt,2
2020-11-22,Helse Møre og Romsdal,Midt,2
2020-11-23,Helse Møre og Romsdal,Midt,1
2020-11-24,Helse Møre og Romsdal,Midt,1
2020-11-25,Helse Møre og Romsdal,Midt,1
2020-11-26,Helse Møre og Romsdal,Midt,2
2020-11-27,Helse Møre og Romsdal,Midt,2
2020-11-28,Helse Møre og Romsdal,Midt,2
2020-11-29,Helse Møre og Romsdal,Midt,1
2020-11-30,Helse Møre og Romsdal,Midt,3
2020-12-01,Helse Møre og Romsdal,Midt,2
2020-12-02,Helse Møre og Romsdal,Midt,2
2020-12-03,Helse Møre og Romsdal,Midt,1
2020-12-04,Helse Møre og Romsdal,Midt,1
2020-12-05,Helse Møre og Romsdal,Midt,1
2020-12-06,Helse Møre og Romsdal,Midt,1
2020-12-07,Helse Møre og Romsdal,Midt,1
2020-12-08,Helse Møre og Romsdal,Midt,2
2020-12-09,Helse Møre og Romsdal,Midt,3
2020-12-10,Helse Møre og Romsdal,Midt,3
2020-12-11,Helse Møre og Romsdal,Midt,3
2020-12-12,Helse Møre og Romsdal,Midt,3
2020-12-13,Helse Møre og Romsdal,Midt,2
2020-12-14,Helse Møre og Romsdal,Midt,2
2020-12-15,Helse Møre og Romsdal,Midt,2
2020-12-16,Helse Møre og Romsdal,Midt,2
2020-12-17,Helse Møre og Romsdal,Midt,2
2020-12-18,Helse Møre og Romsdal,Midt,1
2020-12-19,Helse Møre og Romsdal,Midt,1
2020-12-20,Helse Møre og Romsdal,Midt,1
2020-12-21,Helse Møre og Romsdal,Midt,1
2020-12-22,Helse Møre og Romsdal,Midt,1
2020-12-23,Helse Møre og Romsdal,Midt,1
2020-12-24,Helse Møre og Romsdal,Midt,1
2020-12-25,Helse Møre og Romsdal,Midt,3
2020-12-26,Helse Møre og Romsdal,Midt,3
2020-12-27,Helse Møre og Romsdal,Midt,5
2020-12-28,Helse Møre og Romsdal,Midt,4
2020-12-29,Helse Møre og Romsdal,Midt,7
2020-12-30,Helse Møre og Romsdal,Midt,8
2020-12-31,Helse Møre og Romsdal,Midt,9
2021-01-01,Helse Møre og Romsdal,Midt,8
2021-01-02,Helse Møre og Romsdal,Midt,9
2021-01-03,Helse Møre og Romsdal,Midt,6
2021-01-04,Helse Møre og Romsdal,Midt,7
2021-01-05,Helse Møre og Romsdal,Midt,6
2021-01-06,Helse Møre og Romsdal,Midt,5
2021-01-07,Helse Møre og Romsdal,Midt,5
2021-01-08,Helse Møre og Romsdal,Midt,6
2021-01-09,Helse Møre og Romsdal,Midt,5
2021-01-10,Helse Møre og Romsdal,Midt,4
2021-01-11,Helse Møre og Romsdal,Midt,5
2021-01-12,Helse Møre og Romsdal,Midt,4
2021-01-13,Helse Møre og Romsdal,Midt,3
2021-01-14,Helse Møre og Romsdal,Midt,3
2021-01-15,Helse Møre og Romsdal,Midt,3
2021-01-16,Helse Møre og Romsdal,Midt,2
2021-01-17,Helse Møre og Romsdal,Midt,2
2021-01-18,Helse Møre og Romsdal,Midt,1
2021-01-19,Helse Møre og Romsdal,Midt,0
2021-01-20,Helse Møre og Romsdal,Midt,2
2021-01-21,Helse Møre og Romsdal,Midt,1
2021-01-22,Helse Møre og Romsdal,Midt,1
2021-01-23,Helse Møre og Romsdal,Midt,1
2021-01-24,Helse Møre og Romsdal,Midt,1
2021-01-25,Helse Møre og Romsdal,Midt,1
2021-01-26,Helse Møre og Romsdal,Midt,0
2021-01-27,Helse Møre og Romsdal,Midt,0
2021-01-28,Helse Møre og Romsdal,Midt,0
2021-01-29,Helse Møre og Romsdal,Midt,0
2021-01-30,Helse Møre og Romsdal,Midt,0
2021-01-31,Helse Møre og Romsdal,Midt,0
2021-02-01,Helse Møre og Romsdal,Midt,0
2021-02-02,Helse Møre og Romsdal,Midt,0
2021-02-03,Helse Møre og Romsdal,Midt,0
2020-03-08,Helse Nord-Trøndelag,Midt,0
2020-03-09,Helse Nord-Trøndelag,Midt,0
2020-03-10,Helse Nord-Trøndelag,Midt,1
2020-03-11,Helse Nord-Trøndelag,Midt,1
2020-03-12,Helse Nord-Trøndelag,Midt,1
2020-03-13,Helse Nord-Trøndelag,Midt,0
2020-03-14,Helse Nord-Trøndelag,Midt,1
2020-03-15,Helse Nord-Trøndelag,Midt,1
2020-03-16,Helse Nord-Trøndelag,Midt,1
2020-03-17,Helse Nord-Trøndelag,Midt,1
2020-03-18,Helse Nord-Trøndelag,Midt,3
2020-03-19,Helse Nord-Trøndelag,Midt,3
2020-03-20,Helse Nord-Trøndelag,Midt,4
2020-03-21,Helse Nord-Trøndelag,Midt,4
2020-03-22,Helse Nord-Trøndelag,Midt,4
2020-03-23,Helse Nord-Trøndelag,Midt,2
2020-03-24,Helse Nord-Trøndelag,Midt,2
2020-03-25,Helse Nord-Trøndelag,Midt,2
2020-03-26,Helse Nord-Trøndelag,Midt,1
2020-03-27,Helse Nord-Trøndelag,Midt,2
2020-03-28,Helse Nord-Trøndelag,Midt,2
2020-03-29,Helse Nord-Trøndelag,Midt,2
2020-03-30,Helse Nord-Trøndelag,Midt,1
2020-03-31,Helse Nord-Trøndelag,Midt,3
2020-04-01,Helse Nord-Trøndelag,Midt,3
2020-04-02,Helse Nord-Trøndelag,Midt,3
2020-04-03,Helse Nord-Trøndelag,Midt,4
2020-04-04,Helse Nord-Trøndelag,Midt,4
2020-04-05,Helse Nord-Trøndelag,Midt,4
2020-04-06,Helse Nord-Trøndelag,Midt,5
2020-04-07,Helse Nord-Trøndelag,Midt,4
2020-04-08,Helse Nord-Trøndelag,Midt,4
2020-04-09,Helse Nord-Trøndelag,Midt,4
2020-04-10,Helse Nord-Trøndelag,Midt,5
2020-04-11,Helse Nord-Trøndelag,Midt,5
2020-04-12,Helse Nord-Trøndelag,Midt,4
2020-04-13,Helse Nord-Trøndelag,Midt,4
2020-04-14,Helse Nord-Trøndelag,Midt,4
2020-04-15,Helse Nord-Trøndelag,Midt,4
2020-04-16,Helse Nord-Trøndelag,Midt,4
2020-04-17,Helse Nord-Trøndelag,Midt,4
2020-04-18,Helse Nord-Trøndelag,Midt,4
2020-04-19,Helse Nord-Trøndelag,Midt,4
2020-04-20,Helse Nord-Trøndelag,Midt,4
2020-04-21,Helse Nord-Trøndelag,Midt,3
2020-04-22,Helse Nord-Trøndelag,Midt,2
2020-04-23,Helse Nord-Trøndelag,Midt,1
2020-04-24,Helse Nord-Trøndelag,Midt,1
2020-04-25,Helse Nord-Trøndelag,Midt,0
2020-04-26,Helse Nord-Trøndelag,Midt,0
2020-04-27,Helse Nord-Trøndelag,Midt,0
2020-04-28,Helse Nord-Trøndelag,Midt,0
2020-04-29,Helse Nord-Trøndelag,Midt,1
2020-04-30,Helse Nord-Trøndelag,Midt,1
2020-05-01,Helse Nord-Trøndelag,Midt,1
2020-05-02,Helse Nord-Trøndelag,Midt,1
2020-05-03,Helse Nord-Trøndelag,Midt,1
2020-05-04,Helse Nord-Trøndelag,Midt,1
2020-05-05,Helse Nord-Trøndelag,Midt,1
2020-05-06,Helse Nord-Trøndelag,Midt,1
2020-05-07,Helse Nord-Trøndelag,Midt,1
2020-05-08,Helse Nord-Trøndelag,Midt,1
2020-05-09,Helse Nord-Trøndelag,Midt,1
2020-05-10,Helse Nord-Trøndelag,Midt,1
2020-05-11,Helse Nord-Trøndelag,Midt,1
2020-05-12,Helse Nord-Trøndelag,Midt,1
2020-05-13,Helse Nord-Trøndelag,Midt,1
2020-05-14,Helse Nord-Trøndelag,Midt,1
2020-05-15,Helse Nord-Trøndelag,Midt,1
2020-05-16,Helse Nord-Trøndelag,Midt,1
2020-05-17,Helse Nord-Trøndelag,Midt,1
2020-05-18,Helse Nord-Trøndelag,Midt,1
2020-05-19,Helse Nord-Trøndelag,Midt,1
2020-05-20,Helse Nord-Trøndelag,Midt,1
2020-05-21,Helse Nord-Trøndelag,Midt,1
2020-05-22,Helse Nord-Trøndelag,Midt,1
2020-05-23,Helse Nord-Trøndelag,Midt,1
2020-05-24,Helse Nord-Trøndelag,Midt,1
2020-05-25,Helse Nord-Trøndelag,Midt,1
2020-05-26,Helse Nord-Trøndelag,Midt,1
2020-05-27,Helse Nord-Trøndelag,Midt,1
2020-05-28,Helse Nord-Trøndelag,Midt,1
2020-05-29,Helse Nord-Trøndelag,Midt,1
2020-05-30,Helse Nord-Trøndelag,Midt,1
2020-05-31,Helse Nord-Trøndelag,Midt,1
2020-06-01,Helse Nord-Trøndelag,Midt,1
2020-06-02,Helse Nord-Trøndelag,Midt,1
2020-06-03,Helse Nord-Trøndelag,Midt,1
2020-06-04,Helse Nord-Trøndelag,Midt,1
2020-06-05,Helse Nord-Trøndelag,Midt,1
2020-06-08,Helse Nord-Trøndelag,Midt,1
2020-06-09,Helse Nord-Trøndelag,Midt,1
2020-06-10,Helse Nord-Trøndelag,Midt,1
2020-06-11,Helse Nord-Trøndelag,Midt,1
2020-06-12,Helse Nord-Trøndelag,Midt,1
2020-06-15,Helse Nord-Trøndelag,Midt,1
2020-06-16,Helse Nord-Trøndelag,Midt,1
2020-06-17,Helse Nord-Trøndelag,Midt,1
2020-06-18,Helse Nord-Trøndelag,Midt,1
2020-06-19,Helse Nord-Trøndelag,Midt,0
2020-06-22,Helse Nord-Trøndelag,Midt,0
2020-06-23,Helse Nord-Trøndelag,Midt,0
2020-06-24,Helse Nord-Trøndelag,Midt,0
2020-06-25,Helse Nord-Trøndelag,Midt,0
2020-06-26,Helse Nord-Trøndelag,Midt,0
2020-06-29,Helse Nord-Trøndelag,Midt,0
2020-06-30,Helse Nord-Trøndelag,Midt,0
2020-07-01,Helse Nord-Trøndelag,Midt,0
2020-07-02,Helse Nord-Trøndelag,Midt,0
2020-07-03,Helse Nord-Trøndelag,Midt,0
2020-07-06,Helse Nord-Trøndelag,Midt,0
2020-07-07,Helse Nord-Trøndelag,Midt,0
2020-07-08,Helse Nord-Trøndelag,Midt,0
2020-07-09,Helse Nord-Trøndelag,Midt,0
2020-07-10,Helse Nord-Trøndelag,Midt,0
2020-07-13,Helse Nord-Trøndelag,Midt,0
2020-07-14,Helse Nord-Trøndelag,Midt,0
2020-07-15,Helse Nord-Trøndelag,Midt,0
2020-07-16,Helse Nord-Trøndelag,Midt,0
2020-07-17,Helse Nord-Trøndelag,Midt,0
2020-07-20,Helse Nord-Trøndelag,Midt,0
2020-07-21,Helse Nord-Trøndelag,Midt,0
2020-07-22,Helse Nord-Trøndelag,Midt,0
2020-07-23,Helse Nord-Trøndelag,Midt,0
2020-07-24,Helse Nord-Trøndelag,Midt,0
2020-07-27,Helse Nord-Trøndelag,Midt,0
2020-07-28,Helse Nord-Trøndelag,Midt,0
2020-07-29,Helse Nord-Trøndelag,Midt,0
2020-07-30,Helse Nord-Trøndelag,Midt,0
2020-07-31,Helse Nord-Trøndelag,Midt,0
2020-08-03,Helse Nord-Trøndelag,Midt,0
2020-08-04,Helse Nord-Trøndelag,Midt,0
2020-08-05,Helse Nord-Trøndelag,Midt,0
2020-08-06,Helse Nord-Trøndelag,Midt,0
2020-08-07,Helse Nord-Trøndelag,Midt,1
2020-08-10,Helse Nord-Trøndelag,Midt,2
2020-08-11,Helse Nord-Trøndelag,Midt,2
2020-08-12,Helse Nord-Trøndelag,Midt,1
2020-08-13,Helse Nord-Trøndelag,Midt,1
2020-08-14,Helse Nord-Trøndelag,Midt,1
2020-08-17,Helse Nord-Trøndelag,Midt,2
2020-08-18,Helse Nord-Trøndelag,Midt,1
2020-08-19,Helse Nord-Trøndelag,Midt,1
2020-08-20,Helse Nord-Trøndelag,Midt,0
2020-08-21,Helse Nord-Trøndelag,Midt,0
2020-08-24,Helse Nord-Trøndelag,Midt,0
2020-08-25,Helse Nord-Trøndelag,Midt,0
2020-08-26,Helse Nord-Trøndelag,Midt,0
2020-08-27,Helse Nord-Trøndelag,Midt,0
2020-08-28,Helse Nord-Trøndelag,Midt,0
2020-08-31,Helse Nord-Trøndelag,Midt,0
2020-09-01,Helse Nord-Trøndelag,Midt,0
2020-09-02,Helse Nord-Trøndelag,Midt,0
2020-09-03,Helse Nord-Trøndelag,Midt,0
2020-09-04,Helse Nord-Trøndelag,Midt,0
2020-09-07,Helse Nord-Trøndelag,Midt,0
2020-09-08,Helse Nord-Trøndelag,Midt,0
2020-09-09,Helse Nord-Trøndelag,Midt,0
2020-09-10,Helse Nord-Trøndelag,Midt,0
2020-09-11,Helse Nord-Trøndelag,Midt,0
2020-09-14,Helse Nord-Trøndelag,Midt,0
2020-09-15,Helse Nord-Trøndelag,Midt,0
2020-09-16,Helse Nord-Trøndelag,Midt,0
2020-09-17,Helse Nord-Trøndelag,Midt,0
2020-09-18,Helse Nord-Trøndelag,Midt,0
2020-09-21,Helse Nord-Trøndelag,Midt,0
2020-09-22,Helse Nord-Trøndelag,Midt,0
2020-09-23,Helse Nord-Trøndelag,Midt,0
2020-09-24,Helse Nord-Trøndelag,Midt,0
2020-09-25,Helse Nord-Trøndelag,Midt,0
2020-09-28,Helse Nord-Trøndelag,Midt,0
2020-09-29,Helse Nord-Trøndelag,Midt,0
2020-09-30,Helse Nord-Trøndelag,Midt,0
2020-10-01,Helse Nord-Trøndelag,Midt,0
2020-10-02,Helse Nord-Trøndelag,Midt,0
2020-10-05,Helse Nord-Trøndelag,Midt,0
2020-10-06,Helse Nord-Trøndelag,Midt,0
2020-10-07,Helse Nord-Trøndelag,Midt,1
2020-10-08,Helse Nord-Trøndelag,Midt,1
2020-10-09,Helse Nord-Trøndelag,Midt,1
2020-10-12,Helse Nord-Trøndelag,Midt,0
2020-10-13,Helse Nord-Trøndelag,Midt,0
2020-10-14,Helse Nord-Trøndelag,Midt,0
2020-10-15,Helse Nord-Trøndelag,Midt,0
2020-10-16,Helse Nord-Trøndelag,Midt,0
2020-10-19,Helse Nord-Trøndelag,Midt,0
2020-10-20,Helse Nord-Trøndelag,Midt,0
2020-10-21,Helse Nord-Trøndelag,Midt,0
2020-10-22,Helse Nord-Trøndelag,Midt,0
2020-10-23,Helse Nord-Trøndelag,Midt,0
2020-10-26,Helse Nord-Trøndelag,Midt,0
2020-10-27,Helse Nord-Trøndelag,Midt,0
2020-10-28,Helse Nord-Trøndelag,Midt,0
2020-10-29,Helse Nord-Trøndelag,Midt,0
2020-10-30,Helse Nord-Trøndelag,Midt,0
2020-10-31,Helse Nord-Trøndelag,Midt,0
2020-11-01,Helse Nord-Trøndelag,Midt,0
2020-11-02,Helse Nord-Trøndelag,Midt,0
2020-11-03,Helse Nord-Trøndelag,Midt,0
2020-11-04,Helse Nord-Trøndelag,Midt,2
2020-11-05,Helse Nord-Trøndelag,Midt,2
2020-11-06,Helse Nord-Trøndelag,Midt,2
2020-11-07,Helse Nord-Trøndelag,Midt,2
2020-11-08,Helse Nord-Trøndelag,Midt,2
2020-11-09,Helse Nord-Trøndelag,Midt,2
2020-11-10,Helse Nord-Trøndelag,Midt,2
2020-11-11,Helse Nord-Trøndelag,Midt,0
2020-11-12,Helse Nord-Trøndelag,Midt,1
2020-11-13,Helse Nord-Trøndelag,Midt,1
2020-11-14,Helse Nord-Trøndelag,Midt,1
2020-11-15,Helse Nord-Trøndelag,Midt,1
2020-11-16,Helse Nord-Trøndelag,Midt,1
2020-11-17,Helse Nord-Trøndelag,Midt,0
2020-11-18,Helse Nord-Trøndelag,Midt,0
2020-11-19,Helse Nord-Trøndelag,Midt,0
2020-11-20,Helse Nord-Trøndelag,Midt,1
2020-11-21,Helse Nord-Trøndelag,Midt,0
2020-11-22,Helse Nord-Trøndelag,Midt,0
2020-11-23,Helse Nord-Trøndelag,Midt,0
2020-11-24,Helse Nord-Trøndelag,Midt,0
2020-11-25,Helse Nord-Trøndelag,Midt,0
2020-11-26,Helse Nord-Trøndelag,Midt,0
2020-11-27,Helse Nord-Trøndelag,Midt,0
2020-11-28,Helse Nord-Trøndelag,Midt,0
2020-11-29,Helse Nord-Trøndelag,Midt,0
2020-11-30,Helse Nord-Trøndelag,Midt,0
2020-12-01,Helse Nord-Trøndelag,Midt,0
2020-12-02,Helse Nord-Trøndelag,Midt,0
2020-12-03,Helse Nord-Trøndelag,Midt,0
2020-12-04,Helse Nord-Trøndelag,Midt,0
2020-12-05,Helse Nord-Trøndelag,Midt,0
2020-12-06,Helse Nord-Trøndelag,Midt,0
2020-12-07,Helse Nord-Trøndelag,Midt,0
2020-12-08,Helse Nord-Trøndelag,Midt,0
2020-12-09,Helse Nord-Trøndelag,Midt,0
2020-12-10,Helse Nord-Trøndelag,Midt,0
2020-12-11,Helse Nord-Trøndelag,Midt,0
